Site,Knoll,Year,Total,Broken,,,,,,,,,,,,,,,,,
Katza,11,2020,20,11,,,,,,,,,,,,,,,,,
Katza,12,2020,8,2,,,,,,,,,,,,,,,,,
Katza,14,2020,,,,,,,,,,,,,,,,,,,
Katza,15,2020,,,,,,,,,,,,,,,,,,,
Katza,16,2020,10,3,,,,,,,,,,,,,,,,,
Katza,17,2020,,,,,,,,,,,,,,,,,,,
Katza,18,2020,,,,,,,,,,,,,,,,,,,
Katza,19,2020,,,,,,,,,,,,,,,,,,,
Katza,20,2020,27,13,,,,,,,,,,,,,,,,,
Katza,21,2020,,,,,,,,,,,,,,,,,,,
Katza,22,2020,41,14,,,,,,,,,,,,,,,,,
Katza,23,2020,23,16,,,,,,,,,,,,,,,,,
Katza,24,2020,34,10,,,,,,,,,,,,,,,,,
