"","(Intercept)","category_depth","mean_Complexity","mean_coral_cover","mean_Surface_Area","precentage","Site","df","logLik","AICc","delta","weight"
"12",0.648874455925723,"+",-0.0313385563369335,NA,-0.00464717225284369,NA,NA,5,16.9251184365344,-22.0855309907159,15.8814010204516,6.21473861240982e-05
"6",0.534652907476647,"+",NA,-0.00163523800848032,NA,NA,NA,4,15.5424764804672,-21.9420958180772,16.0248361930903,5.78463971896993e-05
"4",0.421696401369633,"+",0.0207296383255769,NA,NA,NA,NA,4,15.4138917034094,-21.6849262639617,16.2820057472058,5.08665937227134e-05
"16",0.705407519980606,"+",-0.0243539506861706,-0.00164413537684411,-0.00460945088288396,NA,NA,6,17.0951367696601,-19.6448189938657,18.3221130173018,1.83412525599063e-05
"8",0.484428862628404,"+",0.0277811764824551,-0.00176680053029875,NA,NA,NA,5,15.5961038035496,-19.4275017247463,18.5394302864212,1.64527745155875e-05
"13",1.04138888761984,NA,NA,-0.00552188076995856,-0.00668945520825404,NA,NA,4,11.3873957250895,-13.6319343073219,24.3349977038456,9.07293232152611e-07
"9",0.850216300924201,NA,NA,NA,-0.00710738570142698,NA,NA,3,9.74237679769374,-12.8180869287208,25.1488450824467,6.03980557302521e-07
"15",0.933930702958687,NA,0.0453258295783474,-0.00559970941059247,-0.00614863390465196,NA,NA,5,11.4954628179276,-11.2262197535022,26.7407122576654,2.72491772206787e-07
"5",0.925617587409406,NA,NA,-0.00612391164554272,NA,NA,NA,3,8.59905036250942,-10.5314340583522,27.4354979528153,1.92522989454709e-07
"11",0.765031907594504,NA,0.0350518313701697,NA,-0.00669370761889521,NA,NA,4,9.80201811114591,-10.4611790794347,27.5057529317328,1.85877542433637e-07
"7",0.656223574740199,NA,0.12447197910814,-0.00620397964088365,NA,NA,NA,4,9.45229541403324,-9.76173368520934,28.2051983259582,1.31022018045949e-07
"1",0.704071560168493,NA,NA,NA,NA,NA,NA,2,6.83245882398536,-9.34059332364639,28.6263386875211,1.06143845265339e-07
"3",0.439752689220052,NA,0.120827847292616,NA,NA,NA,NA,3,7.56660612702473,-8.4665455873828,29.5003864237847,6.85642551412707e-08
