Family,Species,Species name 2015,Group
Mullidae,Mullidae spp. ,Mullidae,Transient
Mullidae,Mulloidichthys flavolineatus,Mullidae,Transient
Mullidae,Mulloidichthys vanicolensis,Mullidae,Transient
Mullidae,Parupeneus cyclostomus,Parupeneus cyclostomus,Transient
Mullidae,Parupeneus forsskali,Mullidae,Transient
Mullidae,Parupeneus macronemus,Mullidae,Transient
Mullidae,Parupeneus rubescens,Mullidae,Transient
Muraenidae,Gymnothorax flavimarginatus,Muraenidae,Reef associated
Muraenidae,Gymnothorax griseus,Muraenidae,Reef associated
Muraenidae,Gymnothorax javanicus,Muraenidae,Reef associated
Muraenidae,Gymnothorax nudivomer,Muraenidae,Reef associated
Muraenidae,Gymnothorax undulatus,Muraenidae,Reef associated
Muraenidae,Muraenidae spp.,Muraenidae,Reef associated
Muraenidae,Scuticaria tigrina,Muraenidae,Reef associated
Nemipteridae,Scolopsis ghanam,Scolopsis ghanam,Transient
Ophichthidae,Myrichthys maculosus,Ophichthidae,Reef associated
Ostraciidae,Ostracion cubicum,Ostracion spp.,Transient
Ostraciidae,Ostracion cyanurus,Ostracion spp.,Transient
Ostraciidae,Ostracion spp.,Ostracion spp.,Transient
Pempheridae,Parapriacanthus guentheri,Pempheridae,Reef associated
Pinguipedidae,Parapercis hexophtalma,Pinguipedidae,Reef associated
Pinguipedidae,Pinguipedidae spp.,Pinguipedidae,Reef associated
Platycephalidae,Papilloculiceps longiceps,Platycephalidae,Reef associated
Pomacanthidae,Apolemichthys xanthotis,Apolemichthys xanthotis,Transient
Pomacanthidae,Centropyge multispinis,Centropyge multispinis,Transient
Pomacanthidae,Pomacanthus imperator,Pomacentridae,Transient
Pomacanthidae,Pygoplites diacanthus,Pomacanthidae,Transient
Pomacentridae,Abudefduf sexfasciatus,Abudefduf spp.,Transient
Pomacentridae,Abudefduf sordidus,Abudefduf spp.,Transient
Pomacentridae,Abudefduf spp.,Abudefduf spp.,Transient
Pomacentridae,Abudefduf vaigiensis,Abudefduf spp.,Transient
Pomacentridae,Amblyglyphidodon flavilatus,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amblyglyphidodon indicus,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amblyglyphidodon spp.,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amphiprion bicinctus,Amphiprion bicinctus,Reef associated
Pomacentridae,Chromis dimidiata,Chromis dimidiata,Reef associated
Pomacentridae,Chromis flavaxilla,Chromis spp.,Reef associated
Pomacentridae,Chromis pelloura,Chromis spp.,Reef associated
Pomacentridae,Chromis pembae,Chromis spp.,Reef associated
Pomacentridae,Chromis spp.,Chromis spp.,Reef associated
Pomacentridae,Chromis ternatensis,Chromis spp.,Reef associated
Pomacentridae,Chromis viridis,Chromis viridis,Reef associated
Pomacentridae,Chromis weberi,Chromis spp.,Reef associated
Pomacentridae,Chrysiptera unimaculata,Pomacentridae,Reef associated
Pomacentridae,Dascyllus abudafur,Dascyllus aruanus,Reef associated
Pomacentridae,Dascyllus marginatus,Dascyllus marginatus,Reef associated
Pomacentridae,Dascyllus trimaculatus,Dascyllus trimaculatus,Reef associated
Pomacentridae,Neoglyphidodon melas,Neoglyphidodon melas,Reef associated
Pomacentridae,Neopomacentrus miryae,Neopomacentrus miryae,Reef associated
Pomacentridae,Plectroglyphidodon lacrymatus,Pomacentridae,Reef associated
Pomacentridae,Plectroglyphidodon leucozonus,Pomacentridae,Reef associated
Pomacentridae,Plectroglyphidodon spp.,Pomacentridae,Reef associated
Pomacentridae,Pomacanthus spp.,Pomacentridae,Transient
Pomacentridae,Pomacentrus sulfureus,Pomacentrus sulfureus,Reef associated
Pomacentridae,Pomacentrus trichrourus,Pomacentrus trichrourus,Reef associated
Pomacentridae,Pomacentrus trilineatus,Pomacentridae,Reef associated
Priacanthidae,Priacanthus hamrur,Priacanthidae,Reef associated
Pseudochromidae,Haliophis guttatus,Pseudochromidae,Reef associated
Pseudochromidae,Haliophis sp.,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis flavivertex,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis fridmani,Pseudochromis fridmani,Reef associated
