"","(Intercept)","log(mean_Max_depth)","mean_Complexity","mean_coral_cover","mean_Surface_Area","precentage","Site","df","logLik","AICc","delta","weight"
"39",1.01789576807339,NA,-0.0334375264004135,-0.0041166599132034,NA,NA,"+",7,25.0476212843713,-32.5952425687425,7.4142043996463,0.00377977859208892
"35",0.89850136113748,NA,-0.0374922903760735,NA,NA,NA,"+",6,23.5428106166995,-32.5401666879444,7.46928028044444,0.00367711138418093
"63",0.833624163993362,NA,-0.0175939228775229,-0.00371045242597663,-0.00198314734817588,0.0025764857112227,"+",9,28.1428417740546,-32.2856835481091,7.72376342027966,0.00323777357076435
"22",1.14461291468514,-0.31295325142421,NA,-0.00384746850060797,NA,0.00322189007225714,NA,5,21.9629987587862,-32.1612916352194,7.84815533316937,0.00304253170835016
"18",1.04097956719554,-0.335733935125234,NA,NA,NA,0.00323097761649053,NA,4,20.6294953408344,-32.1161335388117,7.89331342957716,0.00297460399564235
"28",1.0009506674396,-0.298136621830731,0.0301339388352729,NA,-0.00408348925049965,0.00320590420013732,NA,6,22.8137559537987,-31.0820573621429,8.92738960624591,0.00177370899421666
"24",0.917982461818061,-0.291125710445742,0.0857622371967141,-0.00397965162510509,NA,0.00337426061294358,NA,6,22.7242230505107,-30.9029915555668,9.10645541282197,0.00162180532645145
"32",1.076008270345,-0.275973669199264,0.0385018274326338,-0.00371522644435778,-0.00382821437466759,0.00321694753553722,NA,7,24.1926175044627,-30.8852350089255,9.12421195946335,0.00160747022512615
"20",0.82585798404991,-0.316066733334566,0.0801478725574474,NA,NA,0.0033736650985604,NA,5,21.2506229074572,-30.7365399325615,9.27290703582732,0.00149229337770774
"43",0.979148168881543,NA,-0.0567384144943635,NA,-0.00205849742050664,NA,"+",7,23.9411127200987,-30.3822254401974,9.62722152819138,0.00125001664862062
"47",1.0931515077506,NA,-0.0518081174405968,-0.00406467286484086,-0.00195937674812439,NA,"+",8,25.4363437480455,-30.2275262057685,9.78192076262036,0.0011569731633445
"10",1.48299516013637,-0.431560030885108,NA,NA,-0.00461618581356402,NA,NA,4,19.5482265812969,-29.9535960197366,10.0558509486522,0.00100888136726144
"14",1.57906191961675,-0.410871466678538,NA,-0.00365101679960036,-0.0044592796906749,NA,NA,5,20.6776847740657,-29.5906636657784,10.4187833026104,0.000841453927675259
"2",1.44802472737356,-0.469383983973239,NA,NA,NA,NA,NA,3,17.5917389026184,-28.5168111385702,11.4926358298186,0.000491865349073762
"6",1.5512441980604,-0.446062229678968,NA,-0.00387491025055414,NA,NA,NA,4,18.7486899248349,-28.3545227068126,11.6549242615762,0.000453529711053659
"29",0.674743307759282,NA,NA,-0.00456157227289649,-0.00528069047091572,0.00501384919181574,NA,5,19.7237297520463,-27.6827536217396,12.3266933466492,0.000324140232941763
"12",1.46798467628886,-0.431095592029199,0.00589632750323469,NA,-0.00454927896161776,NA,NA,5,19.5509636322957,-27.3372213822384,12.6722255861504,0.000272710316510605
"25",0.50486180250444,NA,NA,NA,-0.00557281412331151,0.00519364581837413,NA,4,18.0353177541174,-26.9277783653776,13.0816686030112,0.000222224606565767
"16",1.54394621803856,-0.40959018996369,0.0141045609451822,-0.00368106980609472,-0.00429794075205374,NA,NA,6,20.694183323844,-26.8429121022334,13.1665348661555,0.000212992186113232
"4",1.29913893774064,-0.458988623651626,0.0605282794701599,NA,NA,NA,NA,4,17.8968453319486,-26.65083352104,13.3586134473488,0.000193488134374083
"8",1.39130511628229,-0.43408413539321,0.066136634777461,-0.0039778457419753,NA,NA,NA,5,19.1345788073551,-26.5044517323572,13.5049952360316,0.000179832398050288
"31",0.509930595991659,NA,0.0677324295597601,-0.00466678788181906,-0.00445625194252508,0.00507173655659073,NA,6,20.0908263441867,-25.6361981429188,14.37324882547,0.000116500842002024
"23",0.287800379506598,NA,0.125131313886029,-0.00503875920444065,NA,0.00537614127369382,NA,5,18.4619609343517,-25.1592159863504,14.8502309820384,9.17811943605487e-05
"21",0.558856245169454,NA,NA,-0.00495901303624575,NA,0.00537270082410794,NA,4,17.1253423688256,-25.107827594794,14.9016193735948,8.94529891511901e-05
"27",0.355365348642895,NA,0.0600111996519647,NA,-0.00484832824930456,0.00524860862113054,NA,5,18.3001669565918,-24.8356280308306,15.1738189375582,7.80705921076515e-05
"17",0.366275750757,NA,NA,NA,NA,0.00559079495973205,NA,3,15.3676152371006,-24.0685638075344,15.9408831608544,5.32012202318067e-05
"19",0.098486183814905,NA,0.122226965487232,NA,NA,0.00559758133602047,NA,4,16.5310438575762,-23.9192305722952,16.0902163960936,4.93735430606254e-05
"13",1.04138888761984,NA,NA,-0.00552188076995856,-0.00668945520825404,NA,NA,4,11.3873957250895,-13.6319343073219,26.3775126610669,2.88161723265599e-07
"9",0.850216300924201,NA,NA,NA,-0.00710738570142698,NA,NA,3,9.74237679769374,-12.8180869287208,27.191360039668,1.91827814915229e-07
