Country,Project,Expedition,Location,Date,KnollID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Knoll,Time Start,Time End,Notes,Observer,Species,Amount,Length,Confidence
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Abudefduf vaigiensis,4,14,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Abudefduf vaigiensis,17,12,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Abudefduf vaigiensis,2,10,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Ctenochaetus striatus,1,15,1
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Ctenochaetus striatus,1,12,1
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Chaetodon fasciatus,1,14,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Cheilinus lunulatus,1,35,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Cheilinus lunulatus,1,21,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Scarus fuscopurpureus,1,30,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Sufflamen albicaudatus,1,17,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Acanthurus nigrofuscus,1,14,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Epinephelus fasciatus,1,26,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Chromis dimidiata,2,6,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus sulfureus,3,3,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus sulfureus,2,8,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Coris aygula,3,5,
