First Observer,Knoll,Notes,Second Observer,Time End,Time Start,column_to_join_by,Observer,Species,Amount,Length,Confidence,meta_to_site_identifier,Date,Location,Start,End,Country,Project,Reserve,KnollID,Lat(N),Lon(E)
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Acanthurus nigrofuscus,1,14,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Scarus niger,1,22,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Parupeneus cyclostomus,1,27,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Scarus ferrugineus,1,18,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudanthias squamipinnis,1,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudanthias squamipinnis,5,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudanthias squamipinnis,1,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudanthias squamipinnis,3,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Thalassoma rueppellii,1,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Cephalopholis hemistiktos,1,13,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudochromis fridmani,1,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Chromis dimidiata,1,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
