Species,Species_2015,Family,Status_survey_based,based_on_home_range,based_on_reef_assosiation,notes,,
Atherinomorus lacunosus,Atherinidae,Atherinidae,T,2,1,,,
Balistapus undulatus,Balistidae,Balistidae,T,1,1,"diet = fish,coral,algae. Nest in send/rubble",,
Balistidae spp.,Balistidae,Balistidae,T,1,1,,,
Odonus niger,Balistidae,Balistidae,T,1,1,pelagic animales and zooplankton,,
Pseudobalistes fuscus,Balistidae,Balistidae,T,1,2,prefes areas with sand/rubble/seagrass/scattered coral,,
Rhinecanthus assasi,Balistidae,Balistidae,T,1,2,"inhabit areas of mixed rubble, sand and coral",,
Sufflamen albicaudatum,Balistidae,Balistidae,T,1,1,inhabit areas of sand next to coral,,
Tylosurus choram,Belonidae,Belonidae,T,2,2,usally along upper reef eadge,,
Alloblennius pictus,Blenniidae,Blenniidae,C,0,0,,,
Aspidontus dussumieri,Blenniidae,Blenniidae,C,0,0,,,
Aspidontus taeniatus,Aspidontus taeniatus,Blenniidae,C,0,0,,,
Aspidontus tractus,Blenniidae,Blenniidae,C,0,0,,,
Atrosalarias fuscus,Blenniidae,Blenniidae,C,0,0,,,
Blenniella periophthalmus,Blenniidae,Blenniidae,C,0,1,"can leave also on rocks, feed on algae",,
Cirripectes castaneus,Blenniidae,Blenniidae,C,0,0,,,
Ecsenius aroni,Blenniidae,Blenniidae,C,0,0,,,
Ecsenius frontalis,Blenniidae,Blenniidae,C,0,0,,,
Ecsenius gravieri,Ecsenius gravieri,Blenniidae,C,0,0,,,
Ecsenius midas,Blenniidae,Blenniidae,C,0,0,,,
Ecsenius nalolo,Blenniidae,Blenniidae,C,0,0,,,
Exallias brevis,Blenniidae,Blenniidae,C,0,0,,,
Meiacanthus nigrolineatus,Meiacanthus nigrolineatus,Blenniidae,C,0,0,,,
Plagiotremus rhinorhynchos,Plagiotremus spp.,Blenniidae,C,0,0,,,
Plagiotremus spp.,Plagiotremus spp.,Blenniidae,C,0,0,,,
Plagiotremus tapeinosoma,Plagiotremus spp.,Blenniidae,C,0,0,,,
Plagiotremus townsendi,Plagiotremus townsendi,Blenniidae,C,0,0,,,
Salarias fasciatus,Blenniidae,Blenniidae,C,0,1,common on reef flats with mixed rubble/send,,
Caesio lunaris,Caesio spp.,Caesionidae,T,2,2,zoopankton,,
Caesio spp.,Caesio spp.,Caesionidae,T,2,2,,,
Caesio varilineata,Caesio spp.,Caesionidae,T,2,2,,,
Callionymus sp.,Callionymidae,Callionymidae,C,1,2,,,
Chaetodon auriga,Chaetodon auriga,Chaetodontidae,T,1,0,feeds on coral polip,,
Chaetodon austriacus,Chaetodon austriacus,Chaetodontidae,T,1,0,feeds on coral polip,,
Chaetodon fasciatus,Chaetodon fasciatus,Chaetodontidae,T,1,0,feeds on coral polip,,
Chaetodon melannotus,Chaetodon melannotus,Chaetodontidae,T,1,0,feeds on coral polip,,
Chaetodon paucifasciatus,Chaetodon paucifasciatus,Chaetodontidae,T,1,0,feeds on coral polip,,
Chaetodon trifascialis,Chaetodon trifascialis,Chaetodontidae,T,1,0,feeds on coral polip,,
Heniochus diphreutes,Heniochus spp.,Chaetodontidae,T,1,1,zoopankton,,
Heniochus intermedius,Heniochus spp.,Chaetodontidae,T,1,1,zoopankton,,
Heniochus spp.,Heniochus spp.,Chaetodontidae,T,,,,,
Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,Cirrhitidae,C,,,,,
Paracirrhites forsteri,Paracirrhites forsteri,Cirrhitidae,T,,,,,
Spratelloides gracilis,Clupeidae,Clupeidae,T,,,,,
Taeniura lymma,Taeniura lymma,Dasyatidae,T,,,,,
Cyclichthys spilostylus,Diodontidae,Diodontidae,T,,,,,
Diodon holocanthus,Diodontidae,Diodontidae,T,,,,,
Diodon hystrix,Diodontidae,Diodontidae,T,,,,,
Diodon spp.,Diodontidae,Diodontidae,T,,,,,
Fistularia commersonii,Fistularia commersonii,Fistulariidae,T,,,,,
Gerres oyena,Gerreidae,Gerreidae,T,,,,,
Amblyeleotris steinitzi,Gobiidae,Gobiidae,C,,,,,
Amblyeleotris sungami,Gobiidae,Gobiidae,C,,,,,
Amblygobius albimaculatus,Gobiidae,Gobiidae,C,,,,,
Asterropteryx semipunctata,Gobiidae,Gobiidae,C,,,,,
Bryaninops natans,Gobiidae,Gobiidae,C,,,,,
Cryptocentrus caeruleopunctatus,Gobiidae,Gobiidae,C,,,,,
Ctenogobiops maculosus,Gobiidae,Gobiidae,C,,,,,
Eviota guttata,Gobiidae,Gobiidae,C,,,,,
Eviota prasina,Gobiidae,Gobiidae,C,,,,,
Eviota prasites,Gobiidae,Gobiidae,C,,,,,
Eviota sebreei,Gobiidae,Gobiidae,C,,,,,
Fusigobius longispinus,Gobiidae,Gobiidae,C,,,,,
Fusigobius neophytus,Gobiidae,Gobiidae,C,,,,,
Gnatholepis anjerensis,Gobiidae,Gobiidae,C,,,,,
Gobiidae spp.,Gobiidae,Gobiidae,C,,,,,
Gobiodon citrinus,Gobiidae,Gobiidae,C,,,,,
Gobiodon reticulatus,Gobiidae,Gobiidae,C,,,,,
Gobiodon rivulatus,Gobiidae,Gobiidae,C,,,,,
Istigobius decoratus,Gobiidae,Gobiidae,C,,,,,
Koumansetta hectori,Gobiidae,Gobiidae,C,,,,,
Lotilia graciliosa,Gobiidae,Gobiidae,C,,,,,
Paragobiodon echinocephalus,Gobiidae,Gobiidae,C,,,,,
Paragobiodon xanthosoma,Gobiidae,Gobiidae,C,,,,,
Pleurosicya micheli,Gobiidae,Gobiidae,C,,,,,
Trimma avidori,Gobiidae,Gobiidae,C,,,,,
Trimma barralli,Gobiidae,Gobiidae,C,,,,,
Trimma flavicaudatum,Gobiidae,Gobiidae,C,,,,,
Hemiramphus far,Hemiramphidae,Hemiramphidae,T,,,,,
Hyporhamphus gamberur,Hemiramphidae,Hemiramphidae,T,,,,,
Myripristis murdjan,Holocentridae,Holocentridae,C,,,,,
Neoniphon sammara,Holocentridae,Holocentridae,C,,,,,
Sargocentron caudimaculatum,Sargocentron spp.,Holocentridae,C,,,,,
Sargocentron diadema,Sargocentron spp.,Holocentridae,C,,,,,
Sargocentron rubrum,Sargocentron spp.,Holocentridae,C,,,,,
Sargocentron spiniferum,Sargocentron spp.,Holocentridae,C,,,,,
Sargocentron spp.,Sargocentron spp.,Holocentridae,C,,,,,
Anampses lineatus,Labridae,Labridae,T,,,,,
Anampses meleagrides,Labridae,Labridae,T,,,,,
Anampses spp.,Labridae,Labridae,T,,,,,
Anampses twistii,Labridae,Labridae,T,,,,,
Bodianus anthioides,Bodianus anthioides,Labridae,T,,,,,
Bodianus axillaris,Labridae,Labridae,T,,,,,
Bodianus diana,Labridae,Labridae,T,,,,,
Cheilinus abudjubbe,Labridae,Labridae,T,,,,,
Cheilinus lunulatus,Labridae,Labridae,T,,,,,
Cheilio inermis,Labridae,Labridae,T,,,,,
Cirrhilabrus rubriventralis,Labridae,Labridae,T,,,,,
Coris aygula,Labridae,Labridae,T,,,,,
Coris caudimacula,Coris caudimacula,Labridae,T,,,,,
Coris cuvieri,Labridae,Labridae,T,,,,,
Coris variegata,Labridae,Labridae,T,,,,,
Gomphosus caeruleus,Gomphosus caeruleus,Labridae,T,,,,,
Halichoeres hortulanus,Labridae,Labridae,T,,,,,
